player_id,name,first_name,last_name,active,height,weight,position,team_id,team,age,from_year
1000,LeBron James,LeBron,James,True,"6'9""",250,SF/PF,1610612747,Los Angeles Lakers,39,2010
1001,Anthony Davis,Anthony,Davis,True,"6'10""",253,PF/C,1610612747,Los Angeles Lakers,31,2022
1002,D'Angelo Russell,D'Angelo,Russell,True,"6'4""",193,PG,1610612747,Los Angeles Lakers,28,2020
1003,Austin Reaves,Austin,Reaves,True,"6'5""",197,SG,1610612747,Los Angeles Lakers,25,2018
1004,Rui Hachimura,Rui,Hachimura,True,"6'8""",230,PF,1610612747,Los Angeles Lakers,26,2011
1005,Jayson Tatum,Jayson,Tatum,True,"6'8""",210,SF/PF,1610612738,Boston Celtics,26,2011
1006,Jaylen Brown,Jaylen,Brown,True,"6'6""",223,SG/SF,1610612738,Boston Celtics,27,2010
1007,Jrue Holiday,Jrue,Holiday,True,"6'4""",205,PG/SG,1610612738,Boston Celtics,33,2022
1008,Kristaps Porzingis,Kristaps,Porzingis,True,"7'2""",240,C/PF,1610612738,Boston Celtics,28,2010
1009,Derrick White,Derrick,White,True,"6'4""",190,PG/SG,1610612738,Boston Celtics,29,2020
1010,Stephen Curry,Stephen,Curry,True,"6'2""",185,PG,1610612744,Golden State Warriors,36,2011
1011,Klay Thompson,Klay,Thompson,True,"6'6""",215,SG,1610612744,Golden State Warriors,34,2020
1012,Draymond Green,Draymond,Green,True,"6'6""",230,PF,1610612744,Golden State Warriors,34,2014
1013,Andrew Wiggins,Andrew,Wiggins,True,"6'7""",197,SF,1610612744,Golden State Warriors,29,2013
1014,Jonathan Kuminga,Jonathan,Kuminga,True,"6'7""",210,PF,1610612744,Golden State Warriors,21,2023
1015,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,"6'11""",242,PF,1610612749,Milwaukee Bucks,29,2016
1016,Damian Lillard,Damian,Lillard,True,"6'2""",195,PG,1610612749,Milwaukee Bucks,33,2021
1017,Khris Middleton,Khris,Middleton,True,"6'7""",222,SF,1610612749,Milwaukee Bucks,32,2018
1018,Brook Lopez,Brook,Lopez,True,"7'0""",282,C,1610612749,Milwaukee Bucks,36,2020
1019,Bobby Portis,Bobby,Portis,True,"6'10""",250,PF/C,1610612749,Milwaukee Bucks,29,2018
1020,Nikola Jokic,Nikola,Jokic,True,"6'11""",284,C,1610612743,Denver Nuggets,29,2019
1021,Jamal Murray,Jamal,Murray,True,"6'4""",215,PG,1610612743,Denver Nuggets,27,2017
1022,Michael Porter Jr.,Michael,Porter Jr.,True,"6'10""",218,SF,1610612743,Denver Nuggets,25,2017
1023,Aaron Gordon,Aaron,Gordon,True,"6'8""",235,PF,1610612743,Denver Nuggets,28,2015
1024,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True,"6'5""",204,SG,1610612743,Denver Nuggets,31,2012
