player_id,game_date,pts,reb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,min,tov,pf,plus_minus,game_id,date,home_team,away_team,turnover,player_name
1000,2025-04-28,31.9,7.0,7.9,0.9,1.1,0.428,0.408,0.788,31.0,0.9,2.1,9.2,,,,,,LeBron James
1000,2025-04-27,25.0,7.8,8.5,1.1,1.1,0.457,0.417,0.843,33.0,3.4,1.2,-6.6,,,,,,LeBron James
1000,2025-04-26,22.7,7.1,7.1,0.8,1.0,0.501,0.416,0.841,31.0,1.1,1.0,-8.7,,,,,,LeBron James
1000,2025-04-25,27.4,6.1,9.7,1.2,1.1,0.512,0.355,0.841,25.0,2.7,2.9,-0.5,,,,,,LeBron James
1000,2025-04-24,29.1,7.8,6.7,1.1,1.1,0.444,0.418,0.793,26.0,2.0,3.1,-14.5,,,,,,LeBron James
1000,2025-04-23,27.5,7.1,8.7,1.1,1.0,0.48,0.417,0.848,26.0,3.6,2.6,-14.3,,,,,,LeBron James
1000,2025-04-22,25.5,8.7,8.6,0.9,0.9,0.45,0.375,0.83,36.0,1.2,2.5,1.0,,,,,,LeBron James
1000,2025-04-21,30.4,6.2,9.5,1.2,0.8,0.474,0.373,0.819,35.0,1.9,1.3,2.1,,,,,,LeBron James
1000,2025-04-20,24.9,6.7,8.9,1.1,0.9,0.434,0.394,0.764,38.0,1.2,2.0,9.3,,,,,,LeBron James
1000,2025-04-19,31.1,7.2,9.1,1.1,1.0,0.477,0.351,0.756,33.0,3.5,2.1,4.2,,,,,,LeBron James
1000,2025-04-18,22.2,8.1,9.4,1.1,0.9,0.428,0.37,0.818,35.0,2.9,2.0,-0.3,,,,,,LeBron James
1000,2025-04-17,25.1,7.0,8.5,1.0,1.1,0.476,0.409,0.838,29.0,1.3,1.2,-14.1,,,,,,LeBron James
1000,2025-04-16,21.9,7.0,9.6,0.9,1.1,0.471,0.413,0.883,27.0,1.6,2.5,7.0,,,,,,LeBron James
1000,2025-04-15,29.1,8.1,8.0,1.1,0.8,0.432,0.413,0.746,27.0,2.9,1.9,5.5,,,,,,LeBron James
1000,2025-04-14,25.6,8.0,9.4,0.9,1.0,0.448,0.386,0.787,24.0,1.9,2.1,4.6,,,,,,LeBron James
1000,2025-04-13,28.4,8.7,9.2,0.9,0.8,0.439,0.409,0.758,37.0,1.4,1.8,7.9,,,,,,LeBron James
1000,2025-04-12,24.4,8.1,7.3,1.0,1.0,0.476,0.376,0.908,30.0,0.9,3.1,-14.2,,,,,,LeBron James
1000,2025-04-11,27.1,8.0,8.9,1.1,1.1,0.424,0.382,0.855,28.0,1.1,1.4,0.1,,,,,,LeBron James
1000,2025-04-10,24.6,6.9,8.3,0.9,1.1,0.503,0.41,0.818,29.0,1.4,1.5,-13.0,,,,,,LeBron James
1000,2025-04-09,24.0,6.5,6.7,0.9,1.0,0.503,0.405,0.845,37.0,2.0,2.9,12.1,,,,,,LeBron James
1001,2025-04-28,17.0,7.4,4.2,0.7,1.4,0.575,0.342,0.828,35.0,1.9,2.2,-2.9,,,,,,Anthony Davis
1001,2025-04-27,18.8,8.6,4.6,0.8,1.4,0.58,0.325,0.88,28.0,1.4,3.1,-12.9,,,,,,Anthony Davis
1001,2025-04-26,24.3,6.6,4.9,0.7,1.5,0.551,0.336,0.755,36.0,2.9,1.4,6.9,,,,,,Anthony Davis
1001,2025-04-25,17.1,8.4,4.5,0.8,1.7,0.535,0.351,0.84,31.0,1.9,2.2,-13.6,,,,,,Anthony Davis
1001,2025-04-24,16.4,8.1,4.0,0.9,1.3,0.592,0.33,0.773,28.0,1.7,1.9,11.4,,,,,,Anthony Davis
1001,2025-04-23,21.5,6.6,5.0,0.9,1.6,0.605,0.33,0.813,35.0,2.6,2.5,-0.4,,,,,,Anthony Davis
1001,2025-04-22,17.7,9.1,4.2,0.8,1.8,0.606,0.353,0.724,27.0,3.3,2.1,10.1,,,,,,Anthony Davis
1001,2025-04-21,22.7,7.6,4.1,0.9,1.6,0.518,0.311,0.77,26.0,1.8,2.1,-0.5,,,,,,Anthony Davis
1001,2025-04-20,17.5,9.0,4.1,0.9,1.7,0.511,0.34,0.815,36.0,3.1,2.0,13.5,,,,,,Anthony Davis
1001,2025-04-19,20.0,7.4,4.5,0.8,1.8,0.549,0.349,0.864,24.0,3.8,1.9,-2.9,,,,,,Anthony Davis
1001,2025-04-18,17.9,7.1,5.3,0.8,1.4,0.554,0.324,0.771,38.0,2.8,2.3,-1.1,,,,,,Anthony Davis
1001,2025-04-17,16.6,6.5,3.8,0.6,1.8,0.601,0.327,0.79,32.0,1.9,1.7,14.4,,,,,,Anthony Davis
1001,2025-04-16,19.9,8.3,5.1,0.8,1.7,0.532,0.371,0.816,36.0,3.8,1.8,8.1,,,,,,Anthony Davis
1001,2025-04-15,23.5,7.1,5.2,0.7,1.6,0.594,0.328,0.757,34.0,3.2,2.3,7.4,,,,,,Anthony Davis
1001,2025-04-14,17.1,7.9,4.7,0.8,1.3,0.567,0.328,0.878,25.0,1.4,1.8,13.0,,,,,,Anthony Davis
1001,2025-04-13,17.2,6.8,4.1,0.6,1.3,0.554,0.375,0.864,36.0,1.8,2.1,-5.2,,,,,,Anthony Davis
1001,2025-04-12,20.6,6.9,4.1,0.8,1.3,0.607,0.342,0.836,24.0,3.0,1.9,1.1,,,,,,Anthony Davis
1001,2025-04-11,19.8,6.7,3.7,0.8,1.4,0.589,0.328,0.818,34.0,2.7,1.1,9.8,,,,,,Anthony Davis
1001,2025-04-10,19.1,7.8,3.6,0.7,1.7,0.593,0.318,0.875,27.0,1.5,1.6,1.0,,,,,,Anthony Davis
1001,2025-04-09,20.9,8.2,4.4,0.8,1.4,0.565,0.311,0.793,26.0,2.3,2.4,4.9,,,,,,Anthony Davis
1002,2025-04-28,12.6,2.0,3.3,0.7,0.4,0.376,0.344,0.849,28.0,0.9,1.5,11.3,,,,,,D'Angelo Russell
1002,2025-04-27,15.8,2.2,3.2,0.5,0.4,0.419,0.352,0.755,23.0,1.9,1.4,-10.7,,,,,,D'Angelo Russell
1002,2025-04-26,11.1,2.4,3.5,0.8,0.4,0.435,0.329,0.88,21.0,1.3,1.6,-6.0,,,,,,D'Angelo Russell
1002,2025-04-25,10.9,2.5,2.9,0.6,0.4,0.437,0.358,0.849,21.0,0.6,2.7,-2.0,,,,,,D'Angelo Russell
1002,2025-04-24,15.9,2.2,3.1,0.6,0.5,0.447,0.334,0.88,19.0,0.6,1.2,13.9,,,,,,D'Angelo Russell
1002,2025-04-23,15.2,1.9,3.3,0.8,0.5,0.405,0.328,0.893,15.0,1.2,2.3,2.7,,,,,,D'Angelo Russell
1002,2025-04-22,14.4,2.1,2.6,0.8,0.4,0.391,0.351,0.777,12.0,0.8,2.1,9.5,,,,,,D'Angelo Russell
1002,2025-04-21,12.0,2.0,3.4,0.6,0.3,0.399,0.318,0.865,15.0,1.8,2.5,-1.4,,,,,,D'Angelo Russell
1002,2025-04-20,13.1,2.4,3.3,0.7,0.4,0.439,0.353,0.763,16.0,0.8,2.4,-14.2,,,,,,D'Angelo Russell
1002,2025-04-19,11.2,2.2,3.4,0.5,0.4,0.392,0.344,0.769,28.0,1.9,2.7,10.0,,,,,,D'Angelo Russell
1002,2025-04-18,12.3,2.1,3.6,0.7,0.4,0.413,0.311,0.911,14.0,1.4,2.1,-8.7,,,,,,D'Angelo Russell
1002,2025-04-17,13.9,1.9,3.8,0.7,0.5,0.388,0.352,0.779,12.0,1.3,1.6,0.1,,,,,,D'Angelo Russell
1002,2025-04-16,12.8,2.0,3.8,0.7,0.3,0.376,0.312,0.821,12.0,0.6,1.9,-6.1,,,,,,D'Angelo Russell
1002,2025-04-15,11.9,2.8,3.8,0.5,0.4,0.428,0.335,0.858,27.0,1.9,1.7,-13.3,,,,,,D'Angelo Russell
1002,2025-04-14,12.0,2.0,2.8,0.6,0.4,0.446,0.302,0.781,12.0,0.5,3.2,6.8,,,,,,D'Angelo Russell
1002,2025-04-13,15.7,2.6,2.6,0.8,0.4,0.378,0.337,0.896,19.0,1.8,1.8,8.2,,,,,,D'Angelo Russell
1002,2025-04-12,15.4,2.5,3.2,0.6,0.5,0.397,0.336,0.855,24.0,0.5,1.3,-1.2,,,,,,D'Angelo Russell
1002,2025-04-11,15.2,2.8,3.2,0.7,0.5,0.389,0.306,0.775,19.0,1.0,2.8,-13.2,,,,,,D'Angelo Russell
1002,2025-04-10,11.0,2.4,2.9,0.6,0.4,0.425,0.304,0.83,17.0,1.1,3.4,10.2,,,,,,D'Angelo Russell
1002,2025-04-09,15.4,2.0,3.2,0.6,0.4,0.436,0.348,0.871,13.0,1.6,2.3,-5.3,,,,,,D'Angelo Russell
1003,2025-04-28,13.3,4.6,2.2,1.0,0.4,0.385,0.382,0.874,15.0,0.7,3.2,-1.4,,,,,,Austin Reaves
1003,2025-04-27,14.1,3.7,2.7,0.9,0.3,0.414,0.336,0.784,27.0,1.6,1.1,-13.5,,,,,,Austin Reaves
1003,2025-04-26,12.4,4.0,2.5,1.2,0.3,0.445,0.327,0.773,20.0,1.8,1.4,2.6,,,,,,Austin Reaves
1003,2025-04-25,16.6,4.5,2.5,1.2,0.3,0.427,0.328,0.88,19.0,1.1,2.6,-12.6,,,,,,Austin Reaves
1003,2025-04-24,13.4,3.9,2.8,1.0,0.3,0.41,0.35,0.902,17.0,1.6,3.3,7.2,,,,,,Austin Reaves
1003,2025-04-23,13.6,3.4,2.4,0.9,0.3,0.407,0.343,0.829,28.0,1.9,1.7,-2.2,,,,,,Austin Reaves
1003,2025-04-22,15.6,3.3,2.4,0.9,0.3,0.437,0.382,0.872,17.0,1.4,3.2,11.8,,,,,,Austin Reaves
1003,2025-04-21,12.8,3.9,2.6,1.2,0.3,0.38,0.361,0.881,21.0,1.4,2.7,2.4,,,,,,Austin Reaves
1003,2025-04-20,13.8,4.5,2.6,0.9,0.3,0.437,0.384,0.806,25.0,1.2,2.6,-7.4,,,,,,Austin Reaves
1003,2025-04-19,14.5,4.3,2.7,1.2,0.3,0.411,0.383,0.867,27.0,2.0,1.6,-7.4,,,,,,Austin Reaves
1003,2025-04-18,17.6,3.3,2.7,0.9,0.3,0.417,0.374,0.799,14.0,1.9,3.5,0.0,,,,,,Austin Reaves
1003,2025-04-17,15.6,4.3,3.0,1.0,0.3,0.407,0.351,0.797,20.0,0.7,2.0,6.5,,,,,,Austin Reaves
1003,2025-04-16,12.3,3.8,2.3,0.9,0.3,0.422,0.375,0.797,12.0,1.3,2.0,5.2,,,,,,Austin Reaves
1003,2025-04-15,14.9,4.6,2.1,1.2,0.4,0.447,0.385,0.907,17.0,2.0,2.2,-10.7,,,,,,Austin Reaves
1003,2025-04-14,15.9,3.8,2.2,1.0,0.4,0.427,0.322,0.86,14.0,0.6,1.6,-7.4,,,,,,Austin Reaves
1003,2025-04-13,17.6,4.5,2.5,1.1,0.3,0.419,0.362,0.888,23.0,2.0,2.6,13.7,,,,,,Austin Reaves
1003,2025-04-12,15.8,4.0,2.2,0.9,0.3,0.384,0.364,0.806,19.0,1.6,1.3,-14.5,,,,,,Austin Reaves
